name	name2	sex	country	birth	height(cm)	weight(kg)	event	native	register
卡洛斯·德尔菲诺 	Carlos Delfino	男	阿根廷	1982年8月29日	198	104	篮球		
克拉丽萨·桑托斯 	Clarissa Santos	女	巴西	1988年3月10日	183	94	篮球		
卡梅隆·安东尼 	Carmelo Anthony	男	美国	1984年9月29日	203	104	篮球		
李慕豪 	Li Muhao	男	中国	1992年6月2日	225	111	篮球	贵州贵阳	
李倩 	Li Qian	女	中国				拳击	河南	内蒙古
劳尔?托格尼?内托 	Raul Togni Neto	男	巴西	1992年5月20日	189	82	篮球		
莱昂纳多?巴博萨 	Leandro Barbosa	男	巴西	1982年11月28日	191	92	篮球		
吕斌 	Lv Bin	男	中国	1994年			拳击	浙江	八一
鲁塔·梅卢提特 	Rūta Meilutyt?	女	立陶宛	1997年3月19日	173	64	游泳		
雷声 	Lei Sheng	男	中国	1984年3月7日	193	75	花剑	天津	广东省
李晓霞 	Li Xiaoxia	女	中国	1988年1月16日	174	64	乒乓球	辽宁	山东
林慧君 	LIN Huijun	女	中国	1993年2月1日	168		女子短跑	福建	福建
罗杰·费德勒 	Roger Federer	男	瑞士	1981年8月8日	185	80	网球		
罗伦特·皮特鲁斯 	Florent Pietrus	男	法国	1981年1月19日	202	103	篮球		
刘诗颖 	LIU Shiying	女	中国	1993年9月24日	178	78	女子标枪	山东	山东
丽泽内·墨菲 	Lizanne Murphy	女	加拿大	1984年3月15日	183	75	篮球		
李小红 	LI Xiaohong	女	中国	1995年1月8日	175	56	女子三级跳远	福建	福建
李尚洙 	LEE Sangsu	男	韩国	1990年8月13日	172	60	乒乓球		
梁小静 	LIANG Xiaojing	女	中国	1997年4月7日	156	45	女子短跑	广东	广东
吕扬 	Lv Yang	女	中国				赛艇	河南	
李珊珊 	Li Shan Shan	女	中国	1987年4月	177	70	篮球	江苏	
刘湘 	Liu Xiang 	女	中国	1996年9月1日			游泳	广东	
李丹 	Li Dan	女	中国	1989年9月19日	155	48	蹦床	广东省广州市	广东
鲁迪·费尔南德斯 	Rudy Fernandez 	男	西班牙	1985年4月4日	196	85	篮球		
李强 	Li Qiang 	男	中国	1989年1月4日	185	83	皮划艇静水	辽宁省	广东省 
刘杉杉 	LIU Shanshan	女	中国	1992年3月16日			足球	河北	
黎雅君 	Li Ya Jun	女	中国:				举重	广东	
林丹 	Lin Dan	男	中国	1983年10月14日	177	70	羽毛球	福建	福建
李影 	LI Ying	女	中国	1993年1月7日			足球	重庆	
梁馨枰 	Liang Xinping	女	中国	1994年7月31日	171	60	花样游泳	江苏	
李悦 	Li Yue	女	中国	1993年10月27日			皮划艇静水	云南贵州	云南
柳雅欣 	Liu Yaxin	女	中国	1999年			游泳	浙江	
娄佳惠 	Lou Jiahui	女	中国	1991年5月26日			足球	河南	
李晓璐 	Li Xiaolu								
龙清泉 	Long Qing Quan	男	中国:	1990年12月3日	156	56	举重	湖南	
李冬娜 	LI Dongna	女	中国	1988年12月6日			足球	辽宁	
乐慧林 	Le Huilin	女	中国	1989年4月1日			击剑	福建	
柳延星 	YOO Yeon Seong	男	韩国	1986年8月19日	180	68	羽毛球		
刘咏诗 	Liu Yongshi	女	中国	1990年2月	176		击剑	广东	
拉特查诺·因达农 	Ratchanok Inthanon	女	泰国	1995年2月5日	165		羽毛球		
林超攀 	Lin Chaopan	男	中国	1995年8月27日			体操	福建	福建
刘洋 	Liu Yang	男	中国	1994年8月11日			体操	辽宁	辽宁
林永庆 	Lin Yongqing	男	中国	1992年12月24日	190	80	游泳	辽宁	
刘虹 	Liu Hong	女	中国	1987年5月12日	161	48	女子20公里竞走	江西	广东
刘诗雯 	 Liu Shiwen	女	中国	1991年4月12日	160	54	乒乓球	辽宁	广东
李响 	 Li Xiang	男	中国	1993年7月2日	192	86	游泳	天津	
吕秀芝 	LYU Xiuzhi	女	中国	1993年10月26日	156	42	女子20公里竞走	安徽	安徽
李玲[2] 	Li Ling	女	中国	1989年7月6日	185	63	女子撑杆跳高	山东	浙江
李露 	Li Lu	女	中国				皮划艇激流	四川	
吕会会 	LYU Huihui	女	中国	1989年6月26日	171	68	女子标枪	河南	河南
李玲蔚 	Li Lingwei	女	中国	1989年1月26日	175	68	女子标枪	山东	山东
露雯 	Lu Wen	女	中国	1990年4月	191	78	篮球	内蒙古鄂尔多斯	
梁美玉 	Liang meiyu	女	中国	1994年1月8日	166	65	曲棍球	广东	广东
李朱濠 	Li Zhuhao	男	中国	1999年1月9日	183		游泳	浙江	
李广源 	Li Guangyuan	男	中国	1997年2月27日			游泳	浙江	
李宗伟 	Lee Chongwei	男	马来西亚	1982年10月21日	172	60	羽毛球		
林俊红 	Lin Junhong	女	中国	1990年12月9日	163	61	自行车	黑龙江省	黑龙江省
刘兆尘 	Liu Zhaochen	男	中国	1995年			游泳	浙江	
林跃 	Lin Yue	男	中国	1991年7月24日	157	46	跳水	北京	
刘婷婷 	Liu tingting	女					链球		
陆滢 	Lu Ying	女	中国	1989年1月22日	175	62	游泳	上海市	上海市
劳瑞·马纳多 	Laure Manaudou	女	法国	1986年10月9日	178	62	游泳		
罗晓玲 	Luo Xiaoling	女	中国	1988年			自行车	甘肃	
莉兹·坎贝奇 	Liz Cambage	女	澳大利亚	1991年8月18日	203	98	篮球		
蕾切尔·杰里 	Rachel Jarry	女	澳大利亚	1991年12月6日	187	77	篮球		
拉斐尔·纳达尔 	Rafael Nadal	男	西班牙	1986年6月3日	185	85	网球		
李冬晓 	Li Dongxiao	女	中国	1987年11月26日	175	60	女子曲棍球	辽宁	"吉林
"
刘海萍 	Liu Haiping	女	中国	1988年6月3日	174	70	皮划艇静水	山东省	山东
刘浩 	Liu Hao	男	中国	1988年			自行车	吉林	吉林
李红侠 	Li Hongxia 	女	中国	1986年9月10日	169	62	女子曲棍球	辽宁	"辽宁
"
路易斯·斯科拉 	Luis Scola	男	阿根廷	1980年4月30日	206	111	篮球		
罗贝塔·文奇 	Roberta Vinci	女	意大利	1983年2月18日			网球		
李雪芮 	Li Xue Rui	女	中国	1991年1月24日	173	65	羽毛球	重庆	重庆
拉菲尼亚 	Rafael	男	巴西	1993年3月12日	178	75	男子足球		
李胜珍 	Li Shengzhen	女	韩国	1985年3月7日	165	60	射箭		
拉尔斯-本德 	Lars Bender	男	德国	1989年4月27日	184	77	男子足球		
吕小军 	Lv Xiaojun	男	中国	1984年7月27日	172	77	举重	湖北	天津
林希妤 	Lin Xiyu	女	中国	1996年2月25日			高尔夫	广东	
李昊桐 	Li Haotong	男	中国	1995年8月3日	183	75	高尔夫	湖南	
李龙大 	Lee Yong Dae	男	韩国	1981年3月8日	178	65	羽毛球		
李皓晴 	Li Haoqing	女	中国香港				乒乓球		
马赛林霍?胡尔塔斯 	Marcelinho Huertas	男	巴西	1983年5月25日	190	85	篮球		
马英楠 	Ma Ying Nan	女	中国				柔道	辽宁	
米西·富兰克林 	Missy Franklin	女	美国	1995年5月10日	188	75	游泳		
马龙 	Ma Long	男	中国	1988年10月20日	175	72	乒乓球	辽宁	北京
木村纱织 	Saori Kimura	女	日本	1986年8月19日	185	65	排球		
米歇尔·普罗菲 	Michelle Plouffe	女	加拿大	1992年9月15日	191	82	篮球		
米兰达·阿伊木 	Miranda Ayim	女	加拿大	1988年5月6日	183	78	篮球		
毛艺 	Mao Yi	女	中国	1999年9月			体操	辽宁	上海
苗甜 	Miao Tian	女	中国				苗甜	北京	
马克·加索尔 	Marc Gasol	男	西班牙	1985年1月29日	216	120	篮球		
马晓旭 	MA Xiaoxu	女	中国	1988年6月5日			足球	辽宁	
马青 	Ma Qing	女	中国	1992年8月24日			皮划艇静水	山东	山东
马剑飞 	Ma Jianfei	男	中国	1984年7月29日	186	77	击剑	广东	广东省
马思莱尼科夫 	Vladimir MASLENNIKOV	男	俄罗斯	1994年8月17日	168	67	射击男子气步枪		
马金尼奥斯 	Marquinhos	男	巴西	1994年5月14日	183	80	男子足球		
毛飞廉 	Mao Feilian	男	中国	1993年			游泳	浙江	
迈尔 	Max Meyer	男	德国	1995年9月18日	173	69	男子足球		
马欢欢 	Ma Huanhuan	女	中国	1990年1月13日	178	73	女子水球	广西	广西
梅笑寒 	Mei Xiaohan	女	中国				水球	安徽	
孟强 	Meng Qiang	男	中国				摔跤		
玛雅·摩尔 	Maya Moore	女	美国	1989年6月11日	175	79	篮球		
马梦露 	Ma Menglu	女	中国	1996年			自行车	河南	河南
玛蒂娜·辛吉斯 	Martina Hingis	女	瑞士	1980年9月30日	170		网球		
米尔扎 	Sania Mirza	女	印度	1986年11月15日	173	57	网球		
马修·德拉夫多瓦 	Matthew Dellavedova	男	澳大利亚	1990年9月8日	193	86	篮球		
马努·吉诺比利 	Manu Ginobili	男	阿根廷	1977年7月28日	198	93	篮球		
马克·霍顿 	Mark Houghton	男	澳大利亚	1997年			游泳		
马晋 	?Ma Jin	女	中国	1988年5月7日	167	60	羽毛球	江苏	山东
莫有雪 	Mo Youxue	男	中国	1988年2月16日	179	65	田径	广东	广东
米奇?拉尔金 	Mitch Larkin	男	澳大利亚	1993年7月9日	187	72	游泳		
马端斌 	Ma Duan Bin	男	中国				柔道	北京	
玛利亚·格罗兹德娃 	Maria Grozdeva	女	保加利亚	1972年6月23日	163	66	射击		
马修·埃蒙斯 	Matthew Emmons	男	美国	1981年4月5日	178	80	射击		
内内?希拉里奥 	Nene Hilario	男	巴西	1982年9月13日	211	113	篮球		
尼古拉斯·巴图姆 	Nicolas Batum	男	法国	1988年12月14日	203	90	篮球		
诺瓦克·德约科维奇 	Novak Djokovic	男	塞尔维亚	1987年5月22日	187	80	网球		
娜塔莉·阿乔恩瓦 	Natalie Achonwa	女	加拿大	1992年11月22日	192	83	篮球		
内瓦尔·塞娜 	Saina Nehwal	女	印度	1990年3月17日	167	60	羽毛球		
内村航平 	Kohei Uchimura	男	日本	1989年1月3日	161	55	体操		
内弗利耶·伊尔马兹 	Nevriye Yilmaz	女	土耳其	1980年6月16日	194	85	篮球		
牛冠男 	Niu Guannan	女	中国				水球	广西	
内马尔 	Neymar	男	巴西	1992年2月5日	175	64	男子足球		
宁泽涛 	Ning Zetao	男	中国	1993年3月6日	191	76	游泳	河南	
娜迪亚·考尔哈多 	Nadia Colhado	女	巴西	1989年2月25日	194	84	篮球		
欧紫霞 	Ou Zixia	女	中国				女子曲棍球	四川	
潘飞鸿 	Pan Feihong	女	中国	1989年7月17日		53	赛艇	浙江	
庞丰月 	PANG Fengyue	女	中国	1989年1月19日			足球	辽宁	
彭帅 	Peng Shuai	女	中国	1986年1月8日	173	65	网球	天津	天津
庞伟 	PangWei	男	中国	1986年7月19日	179	80	射击	河北	河北
佩特拉·科维托娃 	Petra Kvitova	女	捷克	1990年3月8日	183	70	网球		
彭林 	Peng Lin	女	中国	1995年4月4日	184	72	排球	湖南	
彭杨 	Peng Yang	女	中国	1992年1月17日	163	59	曲棍球	四川	四川
朴泰桓 	Park Tae-Hwan	男	韩国	1989年9月27日	183	74	游泳		
彭飞 	Peng Fei	男	中国	1992年			摔跤	陕西西安	
乔·英格尔斯 	Joe Ingles	男	澳大利亚				篮球		
乔斯·卡尔德隆 	Jose Calderon	男	西班牙	1981年9月28日	191	95	篮球		
切阳什姐 	Qie Yangshijie	女	中国	1990年11月11日	159	47	田径	青海	青海
萩野公介 	Kosuke Hagino	男	日本	1994年8月15日	175	70	游泳		
邱子傲 	Qiu Ziao	男	中国	1998年12月	180		游泳	上海	
邱波 	Qiu Bo	男	中国	1993年1月31日	162	59	跳水	四川省	四川省
奇甫倍 	Ki Bo Bae	女	韩国	1988年2月20日	168	56	射箭		
秦凯 	Qin Kai	男	中国	1986年1月31日	170	65	跳水	陕西省	陕西省
秦晨路 	Qin Chenlu	男	中国	1992年			自行车	上海崇明	上海
齐玉红 	Qi Yuhong	女	中国				射箭		上海
秦钟午 	Jin Jong-Oh	男	韩国	1975年9月24日	175	78	射击		
乔治里奥?帕尔特里涅利 	Gregorio Paltrinieri	男	意大利	1994年9月5日	191	72	游泳		
任梦茜 	REN Mengqian	女	中国	1993年10月4日	178	65	女子撑杆跳	浙江	浙江
瑞安·罗切特 	Ryan Lochte	男	美国	1984年8月3日	188	87	游泳		
任文君 	Ren Wenjun	女	中国	1992年1月15日	175	67	皮划艇激流	山东	山东省 
入江陵介 	Ryosuke Irie	男	日本	1990年1月24日	178		游泳		
任灿灿 	Ren Cancan	女	中国	1988年1月26日	167	51	拳击	山东省	武警
山俊 	Shan Jun	男	中国				拳击	云南	云南
邵婷 	Shao Ting	女	中国	1989年12月10日	188	75	篮球	上海	
赛音吉日嘎拉 	Sai Yin Ji Ri Ga La	男	中国				柔道	内蒙古自治区	
孙一文 	Sun Yiwen	女	中国	1992年6月17日	177		击剑	山东	山东
苏欣悦 	SU Xinyue	女	中国	1991年11月8日	178	95	女子铁饼	河北	河北
水谷隼 	Mizutani Jun	男	日本	1989年6月9日	172	66	乒乓球		
史婧琳 	Shi Jinglin	女	中国				游泳	江苏	
沈铎 	Shen Duo	女	中国	1997年	182		游泳	江苏	
孙美晨 	Sun Meichen	女	中国	1998年			游泳	河北	
石川佳纯 	Ishikawa Kasumi	女	日本	1993年2月23日	157	49	乒乓球		
赛尔吉奥·鲁尔 	Sergio Llull	男	西班牙	1987年11月15日	191	86	篮球		
塞尔吉奥·罗德里格斯 	Sergio Rodriguez	男	西班牙	1986年6月12日	191	80	篮球		
孙晓 	Sun Xiao	女	中国				曲棍球	江苏	江苏
松本勝夫 	Cazuo Matsumoto	男	巴西	1986年6月22日	172	63	乒乓球		
孙完虎 	SON Wan Ho	男	韩国	1988年5月17日	177	69	羽毛球		
石智勇 	Shi Zhi Yong	男	中国:				举重	广西	
沈晨 	Shen Chen	女	中国	1990年7月28日	171	60	击剑	江苏	
孙伟 	Sun Wei	男	中国	199年10月27日	193		击剑	江苏	江苏
施嘉洛 	Shi Jialuo	男	中国	1993年1月25日	184		击剑	福建	福建
商科元 	Shang Keyuan	男	中国	1995年2月4日			游泳	浙江	
孙妍在 	Son Yeon-Jae	女	韩国	1994年5月28日	165	47	艺术体操		
尚蓉 	Shang Rong	女	中国				艺术体操	辽宁	
舒建明 	Shu Jianming	男	中国				皮划艇激流	四川	
孙兴慜 	Son Heung-Min	男	韩国	1992年7月8日	182	76	男子足球		
苏炳添 	Su Bingtian	男	中国	1989年8月29日	172	65	田径	广东	广东
孙雅婷 	Sun Ya Ting	女	中国	1988年2月24日	180	78	女子水球	天津	天津
宋冬伦 	Song Dong Lun	女	中国	1991年4月28日	178	82	女子水球	北京	天津
孙梦然 	Sun Meng Ran	女	中国	1992年7月	197	77	篮球	天津	
孙梦昕 	Sun Meng Xin	女	中国	1993年	190	77	篮球	山东	
孙文雁 	Sun Wenyan	女	中国	1989年12月27日	170	58	花样游泳	湖南	湖南
孙玉洁 	Sun Yujie	女	中国	1992年8月10日	185	72	击剑	辽宁	辽宁省
苏·伯德 	Suzanne Brigit Bird	女	美国	1980年10月16日	175	68	篮球		
舒思瑶 	Shu Siyao	女	中国	1992年9月12日	172	49	艺术体操	四川	
孙满 	Sun Man	男	中国	1995年8月22日			赛艇	辽宁	
孙杨 	Sun Yang	男	中国	1991年12月1日	198	89	游泳	浙江	浙江
斯特格 	Steger Bastian	男	德国	1981年	176	67	乒乓球		
宋清龄 	Song Qingling 	女	中国	1986年7月22日	174	71	女子曲棍球	辽宁	辽宁
萨拉·埃拉尼 	Sara Errani	女	意大利	1987年4月29日	164	60	网球		
沈平安 	Shen Ping'an	男	中国	1994年			自行车	四川宜宾	四川
斯文-本德 	Sven Bender	男	德国	1989年4月27日	184	77	男子足球		
桑托?康多莱利 	Santo Condorelli	男	加拿大	1995年1月7日	188	88	游泳		
索尔佳 	Solja	女	德国				乒乓球		
睢冉 	Sui Ran	男	中国	1992年6月25日	192	95	篮球	山西太原	
帖雅娜 	Tie Yana	女	中国香港	1979年5月13日			乒乓球		
托尼·帕克 	Tony Parker	男	法国	1982年5月17日	188	82	篮球		
唐功臣 	Tang Gongcheng	男	中国	1989年4月24日	180	68	田径	河北	河北
谭佳薪 	Tan Jiaxin	女	中国	1996年12月3日			体操	湖南	湖南
唐鹏 	Tang Peng	男	中国香港	1981年2月4日	175	73	乒乓球		
汤梦妮 	Tang Mengni	女	中国	1994年4月8日	169	59	花样游泳	上海	
谭茹殷 	TAN Ruyin	女	中国	1994年7月17日			足球	广东	
唐雨婷 	Tang Yuting	女	中国	1999年			游泳	广东	
田涛 	Tian Tao	男	中国				举重	湖北宜昌	
图格斯·卡尼特兹 	Tugce Canitez	女	土耳其	1990年11月10日	190	85	篮球		
唐奕 	Tang Yi	女	中国	1993年1月8日	177	70	游泳	上海	上海
田志希 	JEON Jihee	女	韩国				乒乓球		
汤星强 	Tang Qingqiang	男	中国	1995年8月11日	170	65	田径	福建	福建
吴静钰 	Wu Jingyu	女	中国	1987年7月13日	167	49	跆拳道	江西	江西
